2026-04-26 00:49:27 | fetcher | INFO     | Fetching historical data | instrument=NSE_INDEX|Nifty 50 | interval=30minute | 2026-03-27 → 2026-04-26
2026-04-26 00:49:27 | fetcher | DEBUG    | Date range 2026-03-27 → 2026-04-26 split into 2 chunk(s) of ≤30 days.
2026-04-26 00:49:27 | fetcher | DEBUG    |   Chunk 1/2: 2026-03-27 → 2026-04-25
2026-04-26 00:49:28 | fetcher | DEBUG    |     ↳ received 234 candle(s).
2026-04-26 00:49:28 | fetcher | DEBUG    |   Chunk 2/2: 2026-04-26 → 2026-04-26
2026-04-26 00:49:28 | fetcher | DEBUG    |     ↳ received 0 candle(s).
2026-04-26 00:49:29 | fetcher | INFO     | Historical data ready — 234 rows, 2026-03-27 09:15:00+05:30 → 2026-04-24 15:15:00+05:30.
2026-04-26 00:49:29 | fetcher | INFO     | Fetching last 150 live candles | instrument=NSE_INDEX|Nifty 50 | interval=30minute
2026-04-26 00:49:29 | fetcher | INFO     | Fetching historical data | instrument=NSE_INDEX|Nifty 50 | interval=30minute | 2026-03-31 → 2026-04-26
2026-04-26 00:49:29 | fetcher | DEBUG    | Date range 2026-03-31 → 2026-04-26 split into 1 chunk(s) of ≤30 days.
2026-04-26 00:49:29 | fetcher | DEBUG    |   Chunk 1/1: 2026-03-31 → 2026-04-26
2026-04-26 00:49:29 | fetcher | DEBUG    |     ↳ received 208 candle(s).
2026-04-26 00:49:29 | fetcher | INFO     | Historical data ready — 208 rows, 2026-04-01 09:15:00+05:30 → 2026-04-24 15:15:00+05:30.
2026-04-26 00:49:29 | fetcher | INFO     | Live candles returned — 150 rows.
2026-04-26 00:54:29 | fetcher | INFO     | Fetching historical data | instrument=NSE_INDEX|Nifty 50 | interval=30minute | 2025-04-26 → 2026-04-26
2026-04-26 00:54:29 | fetcher | DEBUG    | Date range 2025-04-26 → 2026-04-26 split into 13 chunk(s) of ≤30 days.
2026-04-26 00:54:29 | fetcher | DEBUG    |   Chunk 1/13: 2025-04-26 → 2025-05-25
2026-04-26 00:54:30 | fetcher | DEBUG    |     ↳ received 251 candle(s).
2026-04-26 00:54:30 | fetcher | DEBUG    |   Chunk 2/13: 2025-05-26 → 2025-06-24
2026-04-26 00:54:30 | fetcher | DEBUG    |     ↳ received 286 candle(s).
2026-04-26 00:54:31 | fetcher | DEBUG    |   Chunk 3/13: 2025-06-25 → 2025-07-24
2026-04-26 00:54:31 | fetcher | DEBUG    |     ↳ received 286 candle(s).
2026-04-26 00:54:31 | fetcher | DEBUG    |   Chunk 4/13: 2025-07-25 → 2025-08-23
2026-04-26 00:54:32 | fetcher | DEBUG    |     ↳ received 260 candle(s).
2026-04-26 00:54:32 | fetcher | DEBUG    |   Chunk 5/13: 2025-08-24 → 2025-09-22
2026-04-26 00:54:32 | fetcher | DEBUG    |     ↳ received 260 candle(s).
2026-04-26 00:54:33 | fetcher | DEBUG    |   Chunk 6/13: 2025-09-23 → 2025-10-22
2026-04-26 00:54:33 | fetcher | DEBUG    |     ↳ received 249 candle(s).
2026-04-26 00:54:33 | fetcher | DEBUG    |   Chunk 7/13: 2025-10-23 → 2025-11-21
2026-04-26 00:54:33 | fetcher | DEBUG    |     ↳ received 273 candle(s).
2026-04-26 00:54:34 | fetcher | DEBUG    |   Chunk 8/13: 2025-11-22 → 2025-12-21
2026-04-26 00:54:34 | fetcher | DEBUG    |     ↳ received 260 candle(s).
2026-04-26 00:54:34 | fetcher | DEBUG    |   Chunk 9/13: 2025-12-22 → 2026-01-20
2026-04-26 00:54:34 | fetcher | DEBUG    |     ↳ received 260 candle(s).
2026-04-26 00:54:35 | fetcher | DEBUG    |   Chunk 10/13: 2026-01-21 → 2026-02-19
2026-04-26 00:54:35 | fetcher | DEBUG    |     ↳ received 286 candle(s).
2026-04-26 00:54:36 | fetcher | DEBUG    |   Chunk 11/13: 2026-02-20 → 2026-03-21
2026-04-26 00:54:36 | fetcher | DEBUG    |     ↳ received 260 candle(s).
2026-04-26 00:54:36 | fetcher | DEBUG    |   Chunk 12/13: 2026-03-22 → 2026-04-20
2026-04-26 00:54:36 | fetcher | DEBUG    |     ↳ received 221 candle(s).
2026-04-26 00:54:37 | fetcher | DEBUG    |   Chunk 13/13: 2026-04-21 → 2026-04-26
2026-04-26 00:54:37 | fetcher | DEBUG    |     ↳ received 52 candle(s).
2026-04-26 00:54:37 | fetcher | INFO     | Historical data ready — 3204 rows, 2025-04-28 09:15:00+05:30 → 2026-04-24 15:15:00+05:30.
2026-04-26 01:02:15 | fetcher | INFO     | Fetching historical data | instrument=NSE_INDEX|Nifty 50 | interval=30minute | 2025-04-26 → 2026-04-26
2026-04-26 01:02:15 | fetcher | DEBUG    | Date range 2025-04-26 → 2026-04-26 split into 13 chunk(s) of ≤30 days.
2026-04-26 01:02:15 | fetcher | DEBUG    |   Chunk 1/13: 2025-04-26 → 2025-05-25
2026-04-26 01:02:16 | fetcher | DEBUG    |     ↳ received 251 candle(s).
2026-04-26 01:02:16 | fetcher | DEBUG    |   Chunk 2/13: 2025-05-26 → 2025-06-24
2026-04-26 01:02:16 | fetcher | DEBUG    |     ↳ received 286 candle(s).
2026-04-26 01:02:17 | fetcher | DEBUG    |   Chunk 3/13: 2025-06-25 → 2025-07-24
2026-04-26 01:02:17 | fetcher | DEBUG    |     ↳ received 286 candle(s).
2026-04-26 01:02:17 | fetcher | DEBUG    |   Chunk 4/13: 2025-07-25 → 2025-08-23
2026-04-26 01:02:17 | fetcher | DEBUG    |     ↳ received 260 candle(s).
2026-04-26 01:02:18 | fetcher | DEBUG    |   Chunk 5/13: 2025-08-24 → 2025-09-22
2026-04-26 01:02:18 | fetcher | DEBUG    |     ↳ received 260 candle(s).
2026-04-26 01:02:19 | fetcher | DEBUG    |   Chunk 6/13: 2025-09-23 → 2025-10-22
2026-04-26 01:02:19 | fetcher | DEBUG    |     ↳ received 249 candle(s).
2026-04-26 01:02:19 | fetcher | DEBUG    |   Chunk 7/13: 2025-10-23 → 2025-11-21
2026-04-26 01:02:19 | fetcher | DEBUG    |     ↳ received 273 candle(s).
2026-04-26 01:02:20 | fetcher | DEBUG    |   Chunk 8/13: 2025-11-22 → 2025-12-21
2026-04-26 01:02:20 | fetcher | DEBUG    |     ↳ received 260 candle(s).
2026-04-26 01:02:20 | fetcher | DEBUG    |   Chunk 9/13: 2025-12-22 → 2026-01-20
2026-04-26 01:02:20 | fetcher | DEBUG    |     ↳ received 260 candle(s).
2026-04-26 01:02:21 | fetcher | DEBUG    |   Chunk 10/13: 2026-01-21 → 2026-02-19
2026-04-26 01:02:21 | fetcher | DEBUG    |     ↳ received 286 candle(s).
2026-04-26 01:02:21 | fetcher | DEBUG    |   Chunk 11/13: 2026-02-20 → 2026-03-21
2026-04-26 01:02:22 | fetcher | DEBUG    |     ↳ received 260 candle(s).
2026-04-26 01:02:22 | fetcher | DEBUG    |   Chunk 12/13: 2026-03-22 → 2026-04-20
2026-04-26 01:02:22 | fetcher | DEBUG    |     ↳ received 221 candle(s).
2026-04-26 01:02:23 | fetcher | DEBUG    |   Chunk 13/13: 2026-04-21 → 2026-04-26
2026-04-26 01:02:23 | fetcher | DEBUG    |     ↳ received 52 candle(s).
2026-04-26 01:02:23 | fetcher | INFO     | Historical data ready — 3204 rows, 2025-04-28 09:15:00+05:30 → 2026-04-24 15:15:00+05:30.
2026-04-28 10:05:00 | fetcher | INFO     | Fetching last 150 live candles | instrument=NSE_INDEX|Nifty 50 | interval=30minute
2026-04-28 10:05:00 | fetcher | INFO     | Fetching historical data | instrument=NSE_INDEX|Nifty 50 | interval=30minute | 2026-04-02 → 2026-04-28
2026-04-28 10:05:00 | fetcher | DEBUG    | Date range 2026-04-02 → 2026-04-28 split into 1 chunk(s) of ≤30 days.
2026-04-28 10:05:00 | fetcher | DEBUG    |   Chunk 1/1: 2026-04-02 → 2026-04-28
2026-04-28 10:05:00 | fetcher | DEBUG    |     ↳ received 208 candle(s).
2026-04-28 10:05:00 | fetcher | INFO     | Historical data ready — 208 rows, 2026-04-02 09:15:00+05:30 → 2026-04-27 15:15:00+05:30.
2026-04-28 10:05:00 | fetcher | INFO     | Live candles returned — 150 rows.
2026-04-28 10:10:00 | fetcher | INFO     | Fetching last 150 live candles | instrument=NSE_INDEX|Nifty 50 | interval=30minute
2026-04-28 10:10:00 | fetcher | INFO     | Fetching historical data | instrument=NSE_INDEX|Nifty 50 | interval=30minute | 2026-04-02 → 2026-04-28
2026-04-28 10:10:00 | fetcher | DEBUG    | Date range 2026-04-02 → 2026-04-28 split into 1 chunk(s) of ≤30 days.
2026-04-28 10:10:00 | fetcher | DEBUG    |   Chunk 1/1: 2026-04-02 → 2026-04-28
2026-04-28 10:10:00 | fetcher | DEBUG    |     ↳ received 208 candle(s).
2026-04-28 10:10:00 | fetcher | INFO     | Historical data ready — 208 rows, 2026-04-02 09:15:00+05:30 → 2026-04-27 15:15:00+05:30.
2026-04-28 10:10:00 | fetcher | INFO     | Live candles returned — 150 rows.
2026-04-28 10:15:00 | fetcher | INFO     | Fetching last 150 live candles | instrument=NSE_INDEX|Nifty 50 | interval=30minute
2026-04-28 10:15:00 | fetcher | INFO     | Fetching historical data | instrument=NSE_INDEX|Nifty 50 | interval=30minute | 2026-04-02 → 2026-04-28
2026-04-28 10:15:00 | fetcher | DEBUG    | Date range 2026-04-02 → 2026-04-28 split into 1 chunk(s) of ≤30 days.
2026-04-28 10:15:00 | fetcher | DEBUG    |   Chunk 1/1: 2026-04-02 → 2026-04-28
2026-04-28 10:15:00 | fetcher | DEBUG    |     ↳ received 208 candle(s).
2026-04-28 10:15:00 | fetcher | INFO     | Historical data ready — 208 rows, 2026-04-02 09:15:00+05:30 → 2026-04-27 15:15:00+05:30.
2026-04-28 10:15:00 | fetcher | INFO     | Live candles returned — 150 rows.
2026-04-28 18:41:23 | fetcher | INFO     | Fetching historical data | instrument=NSE_INDEX|Nifty 50 | interval=30minute | 2025-04-28 → 2026-04-28
2026-04-28 18:41:23 | fetcher | DEBUG    | Date range 2025-04-28 → 2026-04-28 split into 13 chunk(s) of ≤30 days.
2026-04-28 18:41:23 | fetcher | DEBUG    |   Chunk 1/13: 2025-04-28 → 2025-05-27
2026-04-28 18:41:24 | fetcher | DEBUG    |     ↳ received 277 candle(s).
2026-04-28 18:41:24 | fetcher | DEBUG    |   Chunk 2/13: 2025-05-28 → 2025-06-26
2026-04-28 18:41:24 | fetcher | DEBUG    |     ↳ received 286 candle(s).
2026-04-28 18:41:25 | fetcher | DEBUG    |   Chunk 3/13: 2025-06-27 → 2025-07-26
2026-04-28 18:41:25 | fetcher | DEBUG    |     ↳ received 273 candle(s).
2026-04-28 18:41:25 | fetcher | DEBUG    |   Chunk 4/13: 2025-07-27 → 2025-08-25
2026-04-28 18:41:25 | fetcher | DEBUG    |     ↳ received 260 candle(s).
2026-04-28 18:41:26 | fetcher | DEBUG    |   Chunk 5/13: 2025-08-26 → 2025-09-24
2026-04-28 18:41:26 | fetcher | DEBUG    |     ↳ received 273 candle(s).
2026-04-28 18:41:26 | fetcher | DEBUG    |   Chunk 6/13: 2025-09-25 → 2025-10-24
2026-04-28 18:41:27 | fetcher | DEBUG    |     ↳ received 249 candle(s).
2026-04-28 18:41:27 | fetcher | DEBUG    |   Chunk 7/13: 2025-10-25 → 2025-11-23
2026-04-28 18:41:27 | fetcher | DEBUG    |     ↳ received 247 candle(s).
2026-04-28 18:41:28 | fetcher | DEBUG    |   Chunk 8/13: 2025-11-24 → 2025-12-23
2026-04-28 18:41:28 | fetcher | DEBUG    |     ↳ received 286 candle(s).
2026-04-28 18:41:28 | fetcher | DEBUG    |   Chunk 9/13: 2025-12-24 → 2026-01-22
2026-04-28 18:41:28 | fetcher | DEBUG    |     ↳ received 260 candle(s).
2026-04-28 18:41:29 | fetcher | DEBUG    |   Chunk 10/13: 2026-01-23 → 2026-02-21
2026-04-28 18:41:29 | fetcher | DEBUG    |     ↳ received 273 candle(s).
2026-04-28 18:41:29 | fetcher | DEBUG    |   Chunk 11/13: 2026-02-22 → 2026-03-23
2026-04-28 18:41:29 | fetcher | DEBUG    |     ↳ received 260 candle(s).
2026-04-28 18:41:30 | fetcher | DEBUG    |   Chunk 12/13: 2026-03-24 → 2026-04-22
2026-04-28 18:41:30 | fetcher | DEBUG    |     ↳ received 234 candle(s).
